PMACC,PMAYEAR,REGION,EA_ID,GPSLONG,GPSLAT,DATUM
BF,2017,5. centre-nord,7610,-1.065238418,12.93839296,WGS84
BF,2017,1. boucle-du-mouhoun,7820,-4.065366326,12.72985107,WGS84
BF,2017,3. centre,7271,-1.583361126,12.37884058,WGS84
BF,2017,3. centre,7799,-1.540023941,12.40451958,WGS84
BF,2017,8. est,7243,0.37971859,12.07096824,WGS84
BF,2017,6. centre-ouest,7026,-2.366313426,12.26087031,WGS84
BF,2017,3. centre,7859,-1.570808256,12.3376112,WGS84
BF,2017,3. centre,7725,-1.55274419,12.33410853,WGS84
BF,2017,6. centre-ouest,7390,-2.211783424,12.0978414,WGS84
BF,2017,11. plateau-central,7104,-1.909243727,12.76427138,WGS84
BF,2017,11. plateau-central,7206,-1.296381178,12.58879059,WGS84
BF,2017,3. centre,7909,-1.55436084,12.44076908,WGS84
BF,2017,10. nord,7621,-2.421701096,13.57876844,WGS84
BF,2017,1. boucle-du-mouhoun,7139,-3.451923253,12.45259802,WGS84
BF,2017,9. hauts-bassins,7934,-4.278066274,11.19032392,WGS84
BF,2017,8. est,7369,1.634086619,11.56821427,WGS84
BF,2017,9. hauts-bassins,7373,-3.91604857,10.89359761,WGS84
BF,2017,9. hauts-bassins,7516,-4.296295595,11.17568278,WGS84
BF,2017,12. sahel,7734,-0.485855956,14.35852303,WGS84
BF,2017,2. cascades,7813,-3.845188421,10.3488712,WGS84
BF,2017,3. centre,7650,-1.578585497,12.39810898,WGS84
BF,2017,3. centre,7370,-1.460271403,12.3220386,WGS84
BF,2017,1. boucle-du-mouhoun,7869,-2.824615531,12.89770949,WGS84
BF,2017,3. centre,7234,-1.512842636,12.3943735,WGS84
BF,2017,5. centre-nord,7006,-1.701226694,13.75749544,WGS84
BF,2017,10. nord,7358,-2.33512326,13.64467377,WGS84
BF,2017,3. centre,7142,-1.464854157,12.34167055,WGS84
BF,2017,6. centre-ouest,7483,-2.26186247,12.30881581,WGS84
BF,2017,4. centre-est,7048,-0.419266059,12.24256691,WGS84
BF,2017,3. centre,7175,-1.540155419,12.29351766,WGS84
BF,2017,8. est,7042,-0.144346064,13.00713925,WGS84
BF,2017,4. centre-est,7116,-0.481200319,11.75753318,WGS84
BF,2017,12. sahel,7156,0.387838317,13.24629635,WGS84
BF,2017,12. sahel,7750,-0.739722533,14.18790632,WGS84
BF,2017,12. sahel,7407,-0.374784066,14.39678813,WGS84
BF,2017,6. centre-ouest,7798,-2.107904436,11.09801907,WGS84
BF,2017,7. centre-sud,7092,-1.447938343,12.07219436,WGS84
BF,2017,4. centre-est,7447,-0.393512222,11.78694899,WGS84
BF,2017,8. est,7656,-0.019713079,12.79104592,WGS84
BF,2017,10. nord,7336,-2.25304118,13.13855402,WGS84
BF,2017,2. cascades,7521,-4.969562788,10.45619037,WGS84
BF,2017,5. centre-nord,7339,-1.536358502,13.3248065,WGS84
BF,2017,7. centre-sud,7675,-0.82109388,11.03360685,WGS84
BF,2017,9. hauts-bassins,7891,-4.281279486,11.17483554,WGS84
BF,2017,3. centre,7811,-1.570802789,12.36861309,WGS84
BF,2017,11. plateau-central,7332,-0.77801771,12.17194106,WGS84
BF,2017,6. centre-ouest,7277,-2.101295924,11.70521797,WGS84
BF,2017,3. centre,7472,-1.558556774,12.33700622,WGS84
BF,2017,1. boucle-du-mouhoun,7602,-3.28646243,12.42163068,WGS84
BF,2017,1. boucle-du-mouhoun,7185,-4.088930924,12.18242544,WGS84
BF,2017,10. nord,7620,-2.306892476,13.19389065,WGS84
BF,2017,5. centre-nord,7003,-0.330329494,13.46016954,WGS84
BF,2017,1. boucle-du-mouhoun,7016,-4.340110763,11.87429855,WGS84
BF,2017,3. centre,7323,-1.517552963,12.39013409,WGS84
BF,2017,3. centre,7779,-1.394496902,12.38540152,WGS84
BF,2017,9. hauts-bassins,7791,-4.318962039,11.17149819,WGS84
BF,2017,9. hauts-bassins,7056,-4.299839425,11.18038686,WGS84
BF,2017,13. sud-ouest,7422,-3.249483261,10.83559622,WGS84
BF,2017,8. est,7009,1.355877947,12.55552666,WGS84
BF,2017,9. hauts-bassins,7955,-5.188650015,11.54961935,WGS84
BF,2017,3. centre,7380,-1.528684006,12.342985,WGS84
BF,2017,3. centre,7491,-1.493687456,12.37779405,WGS84
BF,2017,3. centre,7605,-1.482626643,12.36203985,WGS84
BF,2017,9. hauts-bassins,7111,-4.262725884,11.1474597,WGS84
BF,2017,8. est,7847,-0.14162472,12.91355428,WGS84
BF,2017,3. centre,7279,-1.465340378,12.36943876,WGS84
BF,2017,9. hauts-bassins,7879,-4.30756358,11.18051224,WGS84
BF,2017,10. nord,7774,-1.842318401,12.94009015,WGS84
BF,2017,13. sud-ouest,7412,-2.960577186,10.25970736,WGS84
BF,2017,5. centre-nord,7316,-1.286973098,12.89030489,WGS84
BF,2017,6. centre-ouest,7290,-2.457814945,11.97136429,WGS84
BF,2017,4. centre-est,7431,-0.069979496,11.18512086,WGS84
BF,2017,8. est,7846,0.321821276,11.85085078,WGS84
BF,2017,4. centre-est,7880,-0.366008244,11.7379186,WGS84
BF,2017,9. hauts-bassins,7554,-4.288506808,11.19175555,WGS84
BF,2017,1. boucle-du-mouhoun,7212,-2.757122295,11.53828721,WGS84
BF,2017,6. centre-ouest,7192,-2.335942802,12.25295163,WGS84
BF,2017,13. sud-ouest,7972,-2.92529606,9.883330801,WGS84
BF,2017,2. cascades,7335,-4.781059897,10.6406536,WGS84
BF,2017,9. hauts-bassins,7296,-4.804083595,11.7134135,WGS84
BF,2017,2. cascades,7082,-5.178222918,10.66000653,WGS84
BF,2017,10. nord,7400,-2.267911879,12.70150481,WGS84
BF,2017,4. centre-est,7708,-0.382212096,11.78234519,WGS84
